
pino-logo-hire.png        | 50 kB |  50.4 kB/s | ETA: 00:00:00 | 100%

pino-tree.png             | 4 kB |   4.0 kB/s | ETA: 00:00:02 |  30%
pino-tree.png             | 13 kB |  13.1 kB/s | ETA: 00:00:00 | 100%

pino.d.ts                 | 4 kB |   4.0 kB/s | ETA: 00:00:09 |   9%
pino.d.ts                 | 40 kB |  40.2 kB/s | ETA: 00:00:00 | 100%

pino.js                   | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  64%
pino.js                   | 6 kB |   6.2 kB/s | ETA: 00:00:00 | 100%

pretty-demo.png           | 4 kB |   4.0 kB/s | ETA: 00:00:02 |  28%
pretty-demo.png           | 14 kB |  14.2 kB/s | ETA: 00:00:00 | 100%

README.md                 | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  83%
README.md                 | 4 kB |   4.8 kB/s | ETA: 00:00:00 | 100%

SECURITY.md               | 2 kB |   2.5 kB/s | ETA: 00:00:00 | 100%

basic.test.js             | 4 kB |   4.0 kB/s | ETA: 00:00:04 |  17%
basic.test.js             | 22 kB |  22.7 kB/s | ETA: 00:00:00 | 100%

broken-pipe.test.js       | 1 kB |   1.6 kB/s | ETA: 00:00:00 | 100%

browser-child.test.js     | 2 kB |   2.7 kB/s | ETA: 00:00:00 | 100%

browser-disabled.test.js  | 1 kB |   1.7 kB/s | ETA: 00:00:00 | 100%

browser-early-console-fre | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

browser-is-level-enabled. | 3 kB |   3.1 kB/s | ETA: 00:00:00 | 100%

browser-levels.test.js    | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  92%
browser-levels.test.js    | 4 kB |   4.3 kB/s | ETA: 00:00:00 | 100%

browser-serializers.test. | 4 kB |   4.0 kB/s | ETA: 00:00:01 |  48%
browser-serializers.test. | 8 kB |   8.3 kB/s | ETA: 00:00:00 | 100%

browser-timestamp.test.js | 1 kB |   1.7 kB/s | ETA: 00:00:00 | 100%

browser-transmit.test.js  | 4 kB |   4.0 kB/s | ETA: 00:00:01 |  44%
browser-transmit.test.js  | 9 kB |   9.0 kB/s | ETA: 00:00:00 | 100%

browser.test.js           | 4 kB |   4.0 kB/s | ETA: 00:00:02 |  25%
browser.test.js           | 15 kB |  15.7 kB/s | ETA: 00:00:00 | 100%

complex-objects.test.js   | 0 kB |   1.0 kB/s | ETA: 00:00:00 | 100%

crlf.test.js              | 0 kB |   0.7 kB/s | ETA: 00:00:00 | 100%

custom-levels.test.js     | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  68%
custom-levels.test.js     | 5 kB |   5.8 kB/s | ETA: 00:00:00 | 100%

diagnostics.test.js       | 2 kB |   2.9 kB/s | ETA: 00:00:00 | 100%

error.test.js             | 4 kB |   4.0 kB/s | ETA: 00:00:01 |  46%
error.test.js             | 8 kB |   8.6 kB/s | ETA: 00:00:00 | 100%

errorKey.test.js          | 1 kB |   1.1 kB/s | ETA: 00:00:00 | 100%

escaping.test.js          | 2 kB |   2.4 kB/s | ETA: 00:00:00 | 100%

esm.mjs                   | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

index.test.js             | 1 kB |   1.1 kB/s | ETA: 00:00:00 | 100%

named-exports.mjs         | 0 kB |   0.7 kB/s | ETA: 00:00:00 | 100%

exit.test.js              | 1 kB |   2.0 kB/s | ETA: 00:00:00 | 100%

basic.js                  | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

destination.js            | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

syncfalse.js              | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

console-transport.js      | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

crashing-transport.js     | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

default-exit.js           | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

destination-exit.js       | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

index.js                  | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

14-files.js               | 0 kB |   0.0 kB/s | ETA: 00:00:00 | 100%

2-files.js                | 0 kB |   0.0 kB/s | ETA: 00:00:00 | 100%

file1.js                  | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

file10.js                 | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

file11.js                 | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

file12.js                 | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

file13.js                 | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

file14.js                 | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

file2.js                  | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

file3.js                  | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

file4.js                  | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

file5.js                  | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

file6.js                  | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

file7.js                  | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

file8.js                  | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

file9.js                  | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

noop-transport.js         | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

null-prototype.js         | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

stdout-hack-protection.js | 0 kB |   0.4 kB/s | ETA: 00:00:00 | 100%

syncfalse-child.js        | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

syncfalse-exit.js         | 0 kB |   0.4 kB/s | ETA: 00:00:00 | 100%

syncfalse-flush-exit.js   | 0 kB |   0.4 kB/s | ETA: 00:00:00 | 100%

syncfalse.js              | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

syntax-error-esm.mjs      | 0 kB |   0.0 kB/s | ETA: 00:00:00 | 100%

to-file-transport-with-tr | 0 kB |   0.5 kB/s | ETA: 00:00:00 | 100%

to-file-transport.js      | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

to-file-transport.mjs     | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

index.js                  | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

package.json              | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

transport-exit-immediatel | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

transport-exit-immediatel | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

transport-exit-on-ready.j | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

transport-main.js         | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

transport-many-lines.js   | 0 kB |   0.5 kB/s | ETA: 00:00:00 | 100%

transport-string-stdout.j | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

transport-transform.js    | 0 kB |   0.5 kB/s | ETA: 00:00:00 | 100%

transport-uses-pino-confi | 0 kB |   0.8 kB/s | ETA: 00:00:00 | 100%

transport-with-on-exit.js | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

transport-worker-data.js  | 0 kB |   0.4 kB/s | ETA: 00:00:00 | 100%

transport-worker.js       | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

transport-wrong-export-ty | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

to-file-transport-with-tr | 0 kB |   0.5 kB/s | ETA: 00:00:00 | 100%

to-file-transport.ts      | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

transpile.cjs             | 1 kB |   1.0 kB/s | ETA: 00:00:00 | 100%

transport-exit-immediatel | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

transport-exit-immediatel | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

transport-exit-on-ready.t | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

transport-main.ts         | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

transport-string-stdout.t | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

transport-worker.ts       | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

formatters.test.js        | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  57%
formatters.test.js        | 6 kB |   7.0 kB/s | ETA: 00:00:00 | 100%

helper.d.ts               | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

helper.js                 | 3 kB |   3.3 kB/s | ETA: 00:00:00 | 100%

hooks.test.js             | 2 kB |   2.5 kB/s | ETA: 00:00:00 | 100%

http.test.js              | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  64%
http.test.js              | 6 kB |   6.2 kB/s | ETA: 00:00:00 | 100%

version.test.js           | 0 kB |   0.4 kB/s | ETA: 00:00:00 | 100%

is-level-enabled.test.js  | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  67%
is-level-enabled.test.js  | 5 kB |   5.9 kB/s | ETA: 00:00:00 | 100%

basic.spec.js             | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

levels.test.js            | 4 kB |   4.0 kB/s | ETA: 00:00:03 |  21%
levels.test.js            | 18 kB |  18.7 kB/s | ETA: 00:00:00 | 100%

metadata.test.js          | 2 kB |   2.7 kB/s | ETA: 00:00:00 | 100%

mixin-merge-strategy.test | 1 kB |   1.2 kB/s | ETA: 00:00:00 | 100%

mixin.test.js             | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  79%
mixin.test.js             | 5 kB |   5.0 kB/s | ETA: 00:00:00 | 100%

multistream.test.js       | 4 kB |   4.0 kB/s | ETA: 00:00:02 |  25%
multistream.test.js       | 15 kB |  15.6 kB/s | ETA: 00:00:00 | 100%

index.js                  | 1 kB |   1.2 kB/s | ETA: 00:00:00 | 100%

pkg.config.json           | 0 kB |   0.4 kB/s | ETA: 00:00:00 | 100%

